Year,enso
1854,-0.4296095
1855,0.60449284
1856,-0.81203604
1857,-0.37595046
1858,0.12000539
1859,-0.082616545
1860,-0.6697567
1861,-0.6848133
1862,-0.89019483
1863,-0.5563412
1864,-0.35771677
1865,-0.38130784
1866,-0.49869367
1867,-0.47756115
1868,-0.46542835
1869,-1.0156931
1870,-1.4148716
1871,-0.09223219
1872,-0.7642045
1873,-0.45011637
1874,-0.9611242
1875,-0.5819293
1876,-0.107357
1877,1.4522728
1878,0.12216625
1879,-0.8334365
1880,-0.14542033
1881,0.20304465
1882,-0.20760141
1883,0.30200055
1884,0.63294154
1885,0.7558566
1886,-0.80800587
1887,-0.5181906
1888,1.2713184
1889,-0.10169625
1890,-0.6899105
1891,0.4435031
1892,-0.5834428
1893,-0.903827
1894,-0.7281732
1895,0.14923859
1896,0.9849446
1897,-0.01682608
1898,-0.41528034
1899,0.44904467
1900,0.85497814
1901,-0.052426297
1902,1.6270636
1903,0.20464842
1904,0.23977792
1905,1.6681284
1906,0.034439433
1907,0.00131993
1908,-0.1043
1909,-0.6003565
1910,-0.796304
1911,0.63276726
1912,0.5484893
1913,0.5023669
1914,1.3262186
1915,0.29704392
1916,-0.74231356
1917,-0.9128656
1918,0.81134504
1919,0.6255943
1920,0.51483065
1921,-0.13603462
1922,-0.40187165
1923,0.48854163
1924,-0.3979863
1925,0.28018782
1926,0.2880681
1927,-0.077611625
1928,0.13633189
1929,0.18390878
1930,1.0657843
1931,0.20299996
1932,0.05097544
1933,-0.90113205
1934,-0.26855382
1935,-0.066572666
1936,-0.13958953
1937,-0.14052595
1938,-1.0204502
1939,-0.07855252
1940,0.9331725
1941,0.96270704
1942,-0.76288146
1943,-0.7231133
1944,-0.3734565
1945,-1.0167829
1946,-0.60234046
1947,-0.09343165
1948,-0.09104383
1949,-0.48055783
1950,-0.79482627
1951,0.49078128
1952,0.1269612
1953,0.70845693
1954,-0.2695091
1955,-0.78116494
1956,-0.32191995
1957,1.0104247
1958,0.7985026
1959,0.098469056
1960,0.019474955
1961,-0.05603695
1962,-0.29941067
1963,0.5325416
1964,-0.36142087
1965,1.0303934
1966,0.4596311
1967,-0.12199172
1968,0.24043787
1969,0.6013211
1970,-0.31997052
1971,-0.6803128
1972,1.0813249
1973,-0.73593944
1974,-0.72343415
1975,-0.75607675
1976,0.2174536
1977,0.62918186
1978,-0.026187025
1979,0.1778354
1980,0.18399115
1981,-0.2765225
1982,1.127783
1983,0.3994205
1984,-0.52348906
1985,-0.49573085
1986,0.30798385
1987,1.1722878
1988,-1.1306463
1989,-0.6818867
1990,0.2537125
1991,0.8093851
1992,0.93962497
1993,0.5304006
1994,0.7162605
1995,-0.165244
1996,-0.4641955
1997,1.2348338
1998,-0.3166665
1999,-1.2244948
2000,-0.84805346
2001,-0.35449144
2002,0.6516012
2003,0.07183342
2004,0.42568216
2005,-0.057995293
2006,-0.010745068
2007,-0.6802156
2008,-0.83147126
2009,0.12280328
2010,-0.70176476
2011,-0.87048525
2012,-0.21361852
2013,-0.45665216
2014,-0.08777214
2015,1.2382214
2016,-0.106133915
2017,-0.5683252
2018,-0.155021
2019,0.2284615
2020,-0.7756253
2021,-0.9601073
2022,-1.1826828
2023,0.38199154
2024,-0.2876423
2025,-0.7945862
2026,-0.715221
