Year,TSI
1875,1361.3519
1876,1361.2981
1877,1361.3112
1878,1361.1798
1879,1361.2242
1880,1361.4933
1881,1361.7484
1882,1361.7179
1883,1361.6718
1884,1361.7365
1885,1361.637
1886,1361.3801
1887,1361.2676
1888,1361.2065
1889,1361.2008
1890,1361.2086
1891,1361.5054
1892,1361.8219
1893,1361.9003
1894,1361.8909
1895,1361.7571
1896,1361.5934
1897,1361.3386
1898,1361.3964
1899,1361.2695
1900,1361.249
1901,1361.1498
1902,1361.1781
1903,1361.3842
1904,1361.6407
1905,1361.6223
1906,1361.7114
1907,1361.6729
1908,1361.648
1909,1361.5485
1910,1361.3431
1911,1361.1945
1912,1361.1765
1913,1361.1562
1914,1361.239
1915,1361.6449
1916,1361.7914
1917,1362.1705
1918,1362.0428
1919,1361.7343
1920,1361.4729
1921,1361.3779
1922,1361.2406
1923,1361.2075
1924,1361.2924
1925,1361.5045
1926,1361.6924
1927,1361.8641
1928,1361.832
1929,1361.647
1930,1361.5695
1931,1361.401
1932,1361.298
1933,1361.2355
1934,1361.2886
1935,1361.5366
1936,1362.0513
1937,1362.2087
1938,1362.119
1939,1361.9944
1940,1361.8458
1941,1361.723
1942,1361.5123
1943,1361.33
1944,1361.3175
1945,1361.6183
1946,1361.9337
1947,1362.1885
1948,1362.306
1949,1362.1615
1950,1361.8689
1951,1361.6542
1952,1361.4713
1953,1361.3475
1954,1361.2747
1955,1361.4331
1956,1361.9749
1957,1362.4342
1958,1362.4054
1959,1362.1011
1960,1361.9442
1961,1361.5575
1962,1361.3749
1963,1361.3163
1964,1361.2968
1965,1361.3312
1966,1361.5259
1967,1361.7369
1968,1361.7915
1969,1361.8589
1970,1361.8492
1971,1361.5599
1972,1361.6415
1973,1361.4155
1974,1361.3395
1975,1361.2782
1976,1361.2561
1977,1361.4283
1978,1361.809
1979,1362.1737
1980,1362.1989
1981,1362.2487
1982,1361.8027
1983,1361.8099
1984,1361.4008
1985,1361.2559
1986,1361.2611
1987,1361.3958
1988,1361.7035
1989,1362.199
1990,1362.1212
1991,1362.0145
1992,1361.8818
1993,1361.6127
1994,1361.3973
1995,1361.3119
1996,1361.2349
1997,1361.3561
1998,1361.7012
1999,1361.9723
2000,1362.2523
2001,1362.0814
2002,1362.1942
2003,1361.6942
2004,1361.4716
2005,1361.2627
2006,1361.2362
2007,1361.1683
2008,1361.1969
2009,1361.1909
2010,1361.3402
2011,1361.6053
2012,1361.7692
2013,1361.8119
2014,1361.887
2015,1361.9521
2016,1361.4656
2017,1361.2916
2018,1361.2621
2019,1361.2555
2020,1361.3221
2021,1361.4884
2022,1361.9811
2023,1362.4486
2024,1362.5645
2025,1362.4166
