age_ka,co2_ppm
2.69,284.7
3.897,272.7
4.124,268.1
6.735,262.2
7.873,254.5
8.67,259.6
10.167,261.6
10.983,263.7
11.422,244.8
11.881,238.3
13.356,236.2
14.01,225.2
20.023,182.2
22.827,189.2
25.994,191.6
29.063,188.5
30.02,191.7
35.009,205.3
37.471,209.1
43.5,209.1
47.336,189.3
48.854,188.4
49.69,210.1
50.663,215.7
52.382,190.4
57.088,221.7
57.657,210.4
62.859,195.3
64.939,191.4
65.939,194.9
71.049,227.3
73.227,229.1
77.15,217.1
78.183,221.7
80.614,230.9
82.417,241.1
83.333,236.4
84.016,228.0
85.02,214.2
86.181,217.0
87.917,208.0
90.357,224.2
91.249,228.3
94.353,232.0
99.849,225.8
100.837,230.8
101.749,236.9
103.465,228.1
104.704,236.9
105.636,230.6
107.579,238.2
108.153,245.6
109.804,251.2
111.862,256.7
113.262,266.3
114.096,261.4
114.601,274.5
115.118,273.2
116.501,262.5
117.75,267.6
118.649,273.7
119.672,271.9
120.382,265.2
121.017,277.6
122.344,272.1
123.07,276.4
124.213,268.7
124.257,266.6
124.789,266.3
125.081,279.7
125.262,273.0
125.434,277.1
126.347,273.7
126.598,267.1
126.886,262.5
127.132,262.6
127.622,275.3
127.907,275.6
128.344,274.0
128.372,287.1
128.609,286.8
128.866,282.6
129.146,264.1
129.34,263.4
129.652,257.9
129.736,259.0
131.329,245.0
131.455,240.4
131.728,228.9
132.492,223.5
133.069,223.9
133.105,220.3
133.427,210.6
134.123,208.9
134.287,203.7
134.96,204.5
135.114,200.4
135.207,198.0
135.603,198.0
135.883,201.7
136.011,200.7
136.251,202.4
136.567,195.8
136.655,201.1
137.293,194.3
137.633,193.4
137.982,194.2
138.185,190.2
139.275,192.3
139.617,196.5
140.899,195.6
140.96,196.4
142.058,190.4
145.363,196.9
148.831,203.0
149.803,191.9
149.921,188.9
151.423,200.6
154.48,189.0
155.395,185.5
155.813,187.5
159.562,204.3
159.943,196.5
161.679,191.6
162.228,190.1
163.024,186.7
163.698,183.8
164.439,196.6
167.183,197.8
169.492,197.7
171.351,196.0
172.434,190.3
173.135,189.4
173.394,190.1
175.306,207.7
177.139,213.2
178.179,217.7
179.117,198.1
180.068,199.7
182.046,203.4
184.685,210.7
186.697,231.3
188.436,231.4
189.076,220.3
190.352,218.0
192.91,226.5
193.481,220.0
195.017,226.4
195.673,241.2
196.179,242.6
198.972,250.9
199.918,239.1
201.163,247.6
202.413,244.4
202.874,231.9
203.317,232.2
203.837,228.6
204.48,226.3
204.908,229.4
205.362,231.4
205.952,238.1
206.144,237.2
206.81,230.0
207.12,240.5
207.544,242.2
208.064,244.6
208.254,243.9
208.803,247.2
208.995,252.0
209.432,246.9
209.817,239.5
210.154,257.4
210.813,243.4
211.858,251.2
212.716,241.4
213.27,240.3
213.536,242.6
213.984,247.5
214.459,251.7
214.794,251.1
215.382,245.3
216.352,240.5
218.361,214.1
219.116,216.1
220.058,207.1
220.739,208.8
222.03,205.6
224.269,203.3
224.923,215.7
225.909,235.5
226.711,234.5
227.027,233.1
227.776,224.5
229.423,232.4
230.422,233.9
231.066,241.6
234.817,245.2
235.48,252.1
236.114,241.4
236.734,247.4
237.294,243.1
237.868,239.1
238.558,245.6
239.013,245.8
239.477,247.4
239.973,252.8
240.945,259.7
241.366,263.2
242.007,279.0
242.346,280.2
243.071,263.7
243.429,252.3
243.856,249.9
244.347,236.7
244.864,230.4
245.441,219.4
247.681,214.7
250.133,200.2
251.005,213.9
251.864,195.4
252.739,196.7
253.636,195.4
255.498,199.0
256.309,201.9
257.1,204.0
258.661,203.9
260.353,209.6
260.916,205.7
262.092,208.9
262.93,214.6
264.509,228.1
265.653,199.9
266.326,211.7
267.442,188.7
268.181,187.2
269.154,194.2
270.222,198.8
271.256,184.7
272.311,190.4
273.31,193.9
274.321,194.1
275.35,198.4
276.326,193.2
277.361,202.2
278.35,204.5
279.32,211.0
280.269,215.3
281.758,223.7
283.785,231.3
285.38,228.0
286.128,226.4
287.036,231.4
287.538,230.4
288.233,231.0
290.153,234.9
290.73,220.4
291.367,217.1
292.405,207.6
293.057,206.0
293.779,206.7
294.568,212.7
295.93,213.1
297.921,217.1
298.741,224.4
299.621,231.0
300.472,236.1
301.402,239.0
302.28,236.0
303.226,240.2
304.232,240.7
304.901,250.2
305.655,248.6
306.547,244.8
307.495,225.8
308.744,227.8
309.389,226.2
310.168,233.2
311.013,237.8
311.868,239.0
312.676,241.9
313.414,251.6
314.144,256.7
314.867,257.1
315.572,246.8
316.2,272.6
316.897,251.6
317.734,245.2
318.559,233.4
319.48,255.8
320.358,249.2
322.015,257.2
322.767,260.4
323.526,260.3
324.28,260.5
324.971,266.2
325.72,264.0
326.321,266.1
326.972,270.1
327.59,271.9
328.221,275.1
329.475,265.0
330.208,271.7
330.74,272.6
331.438,273.1
331.944,282.4
332.285,289.1
332.462,288.4
332.919,298.6
333.38,278.1
333.89,285.8
334.261,278.6
334.748,270.5
335.287,255.7
335.918,241.9
336.725,239.6
337.391,234.2
339.298,250.1
340.456,200.7
341.802,205.2
343.282,204.8
344.446,211.9
345.98,220.3
348.298,221.1
349.688,216.2
350.925,209.4
352.275,209.2
355.302,193.0
356.898,186.1
358.712,185.8
360.957,201.2
363.385,206.3
366.235,201.9
367.856,199.9
369.446,214.7
371.09,224.6
372.646,229.6
376.568,227.0
378.096,240.0
379.696,239.1
381.132,246.8
382.67,245.8
384.534,258.1
385.398,264.6
386.144,259.2
388.062,255.2
389.946,250.1
391.896,266.3
393.591,274.6
395.116,277.1
396.636,278.0
397.911,288.9
401.109,279.6
402.769,281.2
403.609,283.6
404.968,276.2
407.442,285.5
408.475,286.9
409.75,277.6
412.453,274.6
415.167,275.7
416.545,279.9
417.391,278.0
417.923,276.3
418.544,276.5
419.934,266.6
421.443,274.0
423.207,273.2
428.394,229.7
433.925,199.0
437.58,201.5
437.601,207.8
438.986,205.9
